date,hourly_visibility
2019-10-29,1.609
2019-10-30,0.402
2019-10-31,3.219
2019-11-01,9.656
2019-11-02,10.0
2019-11-03,10.0
2019-11-04,10.0
2019-11-05,10.0
2019-11-06,10.0
2019-11-07,10.0
2019-11-08,10.0
2019-11-09,10.0
2019-11-10,10.0
2019-11-11,10.0
2019-11-12,10.0
2019-11-13,10.0
2019-11-14,10.0
2019-11-15,10.0
2019-11-16,10.0
2019-11-17,10.0
2019-11-18,2.414
2019-11-19,4.023
2019-11-20,10.0
2019-11-21,10.0
2019-11-22,9.656
2019-11-23,9.656
2019-11-24,1.609
2019-11-25,10.0
2019-11-26,10.0
2019-11-27,10.0
2019-11-28,10.0
2019-11-29,10.0
2019-11-30,10.0
2019-12-01,4.023
2019-12-02,1.609
2019-12-03,6.437
2019-12-04,10.0
2019-12-05,10.0
2019-12-06,10.0
2019-12-07,10.0
2019-12-08,10.0
2019-12-09,1.609
2019-12-10,6.437
2019-12-11,0.805
2019-12-12,10.0
2019-12-13,1.207
2019-12-14,0.805
2019-12-15,10.0
2019-12-16,10.0
2019-12-17,4.023
2019-12-18,1.609
2019-12-19,10.0
2019-12-20,10.0
2019-12-21,10.0
2019-12-22,10.0
2019-12-23,10.0
2019-12-24,10.0
2019-12-25,10.0
2019-12-26,0.201
2019-12-27,10.0
2019-12-28,10.0
2019-12-29,2.414
2019-12-30,2.414
2019-12-31,10.0
