,id,iata,icao,description
3774,14100,PHL,KPHL,"Philadelphia, PA: Philadelphia International"
3775,14101,PHN,KPHN,"Port Huron, MI: St. Clair County International"
3776,14102,PHO,PAPO,"Point Hope, AK: Point Hope Airport"
3778,14104,PHS,VTPP,"Phitsanulok, Thailand: Phitsanulok Airport"
3779,14105,PHT,KPHT,"Paris, TN: Henry County"
3780,14106,PHW,FAPH,"Phalaborwa, South Africa: Kruger Park Gateway"
3781,14107,PHX,KPHX,"Phoenix, AZ: Phoenix Sky Harbor International"
3782,14108,PIA,KPIA,"Peoria, IL: General Downing - Peoria International"
3783,14109,PIB,KPIB,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional"
3784,14110,PIC,MBPI,"Pine Cay, Turks and Caicos Islands: Pine Cay British West Indies"
3785,14111,PID,MYPI,"Nassau/Paradise Island, The Bahamas: Nassau-Paradise Island"
3786,14112,PIE,KPIE,"St. Petersburg, FL: St Pete Clearwater International"
3787,14113,PIH,KPIH,"Pocatello, ID: Pocatello Regional"
3789,14115,PIK,EGPK,"Glasgow/Prestwick, United Kingdom: Prestwick"
3790,14116,PIM,KPIM,"Pine Mountain, GA: Harris County"
3791,14117,PIN,SWPI,"Parintins, Brazil: Parintins Airport"
3792,14118,PIO,SPSO,"Pisco, Peru: Pisco International"
3793,14119,PIP,PAPN,"Pilot Point, AK: Pilot Point Airport"
3794,14120,PIR,KPIR,"Pierre, SD: Pierre Regional"
3795,14121,PIS,LFBI,"Poitiers, France: Poitiers Biard"
3796,14122,PIT,KPIT,"Pittsburgh, PA: Pittsburgh International"
3797,14123,PIU,SPUR,"Piura, Peru: Capitan FAP Guillermo Concha Iberico"
3798,14124,PIX,LPPI,"Pico Island, Portugal: Pico"
3799,14125,PIZ,PPIZ,"Point Lay, AK: Point Lay LRRS"
3800,14126,PJB,KPAN,"Payson, AZ: Payson Airport"
3801,14127,PJG,OPPG,"Panjgur, Pakistan: Panjgur Airport"
3802,14128,PJM,MRPJ,"Puerto Jimenez, Costa Rica: Puerto Jimenez Airport"
3804,14130,PKA,PAPK,"Napaskiak, AK: Napaskiak Airport"
3805,14131,PKB,KPKB,"Parkersburg, WV: Mid-Ohio Valley Regional"
3806,14132,PKC,UHPP,"Petropavlovsk-Kamchatsky, Russia: Yelizovo"
3807,14133,PKD,KPKD,"Park Rapids, MN: Park Rapids Municipal-Konshok Field"
3808,14134,PKE,YPKS,"Parkes, Australia: Parkes Airport"
3809,14135,PKH,LGHL,"Porto-Kheli, Greece: Porto Heli"
3810,14136,PKK,VYPU,"Pakokku, Burma: Pakhokku"
3811,14138,PKR,VNPK,"Pokhara, Nepal: Pokhara Airport"
3812,14139,PKU,WIBB,"Pekanbaru, Indonesia: Simpang Tiga"
3813,14140,PKW,FBSP,"Selebi-Phikwe, Botswana: Selebi-Phikwe Airport"
3814,14141,PKZ,VLPS,"Pakse, Laos: Pakse International"
3818,14145,PLH,EGHD,"Plymouth, United Kingdom: Plymouth Airport"
3819,14147,PLK,KPLK,"Point Lookout, MO: M Graham Clark Downtown"
3820,14148,PLL,SBMN,"Ponta Pelada, Brazil: Ponta Pelada Airport"
3821,14149,PLM,WIPP,"Palembang, Indonesia: Sultan Mahmud Badaruddin II"
3822,14150,PLN,KPLN,"Pellston, MI: Pellston Regional Airport of Emmet County"
3823,14151,PLO,YPLC,"Port Lincoln, Australia: Port Lincoln Airport"
3824,14152,PLQ,EYPA,"Palanga, Lithuania: Palanga International"
3825,14153,PLS,MBPV,"Providenciales, Turks and Caicos Islands: Providenciales International"
3826,14154,PLT,SKPL,"Plato, Colombia: Plato Airport"
3827,14155,PLU,SBBH,"Belo Horizonte, Brazil: Pampulha Carlos Drummond de Andrade"
