,Code_x,Description,Code_y,City: Airport
3325,13614,"Bangkok, Thailand: Suvarnabhumi International",BKK,"Bangkok, Thailand: Suvarnabhumi International"
3326,13616,"Nairobi, Kenya: Nairobi Jomo Kenyatta International",NBO,"Nairobi, Kenya: Nairobi Jomo Kenyatta International"
3327,13617,"Glenview, IL: Glenview NAS",NBU,"Glenview, IL: Glenview NAS"
3328,13618,"Guantanamo, Cuba: Guantanamo Bay NS",NBW,"Guantanamo, Cuba: Guantanamo Bay NS"
3329,13619,"Gastonia, NC: Gastonia Municipal",NC1,"Gastonia, NC: Gastonia Municipal"
3330,13620,"Smithfield, NC: Johnston Regional",NC2,"Smithfield, NC: Johnston Regional"
3331,13621,"Shelby, NC: Shelby-Cleveland County Regional",NC3,"Shelby, NC: Shelby-Cleveland County Regional"
3332,13622,"Currituck, NC: Currituck County Regional",NC4,"Currituck, NC: Currituck County Regional"
3333,13623,"Kenansville, NC: Duplin County",NC5,"Kenansville, NC: Duplin County"
3334,13624,"North Caicos, Turks and Caicos Islands: North Caicos International",NCA,"North Caicos, Turks and Caicos Islands: North Caicos International"
3335,13625,"Nice, France: Nice Cote D Azur",NCE,"Nice, France: Nice Cote D Azur"
3336,13626,"Nachingwea, Tanzania: Nachingwea Airport",NCH,"Nachingwea, Tanzania: Nachingwea Airport"
3337,13627,"Necocli, Colombia: Necocli Airport",NCI,"Necocli, Colombia: Necocli Airport"
3338,13628,"Newcastle, United Kingdom: Newcastle Airport",NCL,"Newcastle, United Kingdom: Newcastle Airport"
3339,13629,"Chenega, AK: Chenega Bay",NCN,"Chenega, AK: Chenega Bay"
3340,13630,"North Kingstown, RI: Quonset State Air Reserve National Guard Helipad",NCO,"North Kingstown, RI: Quonset State Air Reserve National Guard Helipad"
3341,13631,"Subic Bay, Philippines: Cubi Point NAS",NCP,"Subic Bay, Philippines: Cubi Point NAS"
3342,13633,"Newcastle, South Africa: Newcastle Airport",NCS,"Newcastle, South Africa: Newcastle Airport"
3343,13634,"Nicoya, Costa Rica: Miguel Angel Castillo Zumbado",NCT,"Nicoya, Costa Rica: Miguel Angel Castillo Zumbado"
3344,13635,"Nukus, Uzbekistan: Nukus Airport",NCU,"Nukus, Uzbekistan: Nukus Airport"
3345,13636,"Annecy, France: Annecy Meythet",NCY,"Annecy, France: Annecy Meythet"
3346,13637,"Kindred, ND: Robert Odegaard Field",ND1,"Kindred, ND: Robert Odegaard Field"
3347,13638,"Nouadhibou, Mauritania: Nouadhibou Airport",NDB,"Nouadhibou, Mauritania: Nouadhibou Airport"
3348,13639,"Nanded, India: Nanded Airport",NDC,"Nanded, India: Nanded Airport"
3349,13641,"Ndjamena, Chad: Hassan Djamous",NDJ,"Ndjamena, Chad: Hassan Djamous"
3350,13642,"Ndele, Central African Republic: Ndele Airport",NDL,"Ndele, Central African Republic: Ndele Airport"
3351,13643,"Nador, Morocco: El Aroui International",NDR,"Nador, Morocco: El Aroui International"
3352,13644,"Cuxhaven, Germany: Nordholz-Spieka",NDZ,"Cuxhaven, Germany: Nordholz-Spieka"
3353,13645,"Gothenburg, NE: Gothenburg Municipal",NE1,"Gothenburg, NE: Gothenburg Municipal"
3354,13647,"Brunswick, GA: Glynco NAS",NEA,"Brunswick, GA: Glynco NAS"
3355,13648,"Negril, Jamaica: Negril Airport",NEG,"Negril, Jamaica: Negril Airport"
3356,13650,"Lakehurst, NJ: Lakehurst/Maxfield Field",NEL,"Lakehurst, NJ: Lakehurst/Maxfield Field"
3357,13651,"Neryungri, Russia: Neryungri Airport",NER,"Neryungri, Russia: Neryungri Airport"
3358,13653,"Sam Neua, Laos: Samneua",NEU,"Sam Neua, Laos: Samneua"
3359,13654,"Nevis, Saint Kitts and Nevis: Vance Winkworth Amory",NEV,"Nevis, Saint Kitts and Nevis: Vance Winkworth Amory"
